assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
29	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
29	2026-03-10	13:21:06	7	siva	5	ayoo51	1			
29	2026-03-10	13:24:32	7	siva	5	ayoo51	1			
29	2026-03-10	14:33:55	7	siva	5	ayoo51	1			
29	2026-03-10	14:55:35	7	siva	5	ayoo52	1			
29	2026-03-11	05:26:00	7	siva	5	ayoo100	1			
30	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
30	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
30	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
30	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
30	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
30	2026-03-10	15:53:39	7	siva	5	ayoo51	1			
31	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
31	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
31	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
31	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
31	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
31	2026-03-11	05:37:21	7	siva	5	ayoo51	1			
32	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
32	2026-02-26	04:44:57	8	admin	4	dhanu02	2		-1	
32	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
32	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
32	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
32	2026-03-10	13:21:02	7	siva	5	ayoo51	1			
32	2026-03-10	13:24:27	7	siva	5	ayoo51	1			
32	2026-03-10	14:33:50	7	siva	5	ayoo51	1			
32	2026-03-10	14:55:30	7	siva	5	ayoo52	1			
32	2026-03-11	05:25:55	7	siva	5	ayoo100	1			
33	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
33	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
33	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
33	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
33	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
33	2026-03-10	05:24:18	7	siva	5	ayoo01	1			
33	2026-03-11	04:39:30	7	siva	5	ayoo08	1			
33	2026-03-11	09:43:38	7	siva	5	dhanu01	2			
34	2026-02-26	04:44:57	1	admin	4	dhanu02	2			
34	2026-02-26	04:44:57	8	admin	4	dhanu02	2		1	
34	2026-02-26	04:44:57	9	admin	4	dhanu02	2		0	
34	2026-02-26	04:44:57	6	admin	4	dhanu02	2		0	
34	2026-02-26	04:44:57	10	admin	4	dhanu02	2			
34	2026-03-11	05:37:24	7	siva	5	ayoo51	1			
35	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
35	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
35	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
35	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
35	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
35	2026-03-10	05:24:22	7	siva	5	ayoo01	1			
35	2026-03-11	04:39:35	7	siva	5	ayoo08	1			
35	2026-03-11	09:43:53	7	siva	5	dhanu01	2			
36	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
36	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
36	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
36	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
36	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
36	2026-03-10	05:24:11	7	siva	5	ayoo01	1			
36	2026-03-11	04:39:24	7	siva	5	ayoo08	1			
36	2026-03-11	09:43:33	7	siva	5	dhanu01	2			
37	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
37	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
37	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
37	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
37	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
37	2026-03-10	05:24:16	7	siva	5	ayoo01	1			
37	2026-03-11	04:39:26	7	siva	5	ayoo08	1			
37	2026-03-11	09:43:36	7	siva	5	dhanu01	2			
38	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
38	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
38	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
38	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
38	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
38	2026-03-10	05:24:07	7	siva	5	ayoo01	1			
38	2026-03-11	04:39:21	7	siva	5	ayoo08	1			
38	2026-03-11	09:43:31	7	siva	5	dhanu01	2			
39	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
39	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
39	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
39	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
39	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
39	2026-03-10	05:24:09	7	siva	5	ayoo01	1			
39	2026-03-10	10:21:51	7	siva	5	ayoo03	1			
39	2026-03-11	11:12:02	7	siva	5	dhanu01	2			
40	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
40	2026-02-26	04:44:57	8	admin	4	dhanu01	2		-1	
40	2026-02-26	04:44:57	9	admin	4	dhanu01	2		0	
40	2026-02-26	04:44:57	6	admin	4	dhanu01	2		0	
40	2026-02-26	04:44:57	10	admin	4	dhanu01	2			
40	2026-03-10	05:24:04	7	siva	5	ayoo01	1			
40	2026-03-11	04:39:18	7	siva	5	ayoo08	1			
40	2026-03-11	09:43:29	7	siva	5	dhanu01	2			
41	2026-02-26	04:44:57	1	admin	4	dhanu01	2			
41	2026-02-26	04:44:57	8	admin	4	dhanu01	2		1	
